,uc,uc_fast,ucr,ucr_fast,ucrC,ucrC_fast,ucrss,ucrss_fast,ucrss_fast_wfilter,ucrss_wfilter
uc,1.0,0.992712278534,0.986013020298,0.987933200128,0.970653961934,0.971591401742,0.9860537585,0.988238764882,0.987424944877,0.986288253619
uc_fast,0.992712278534,1.0,0.98697272526,0.988851074714,0.970210363851,0.971697454197,0.986946716847,0.989586145535,0.98820678553,0.986129788198
ucr,0.986013020298,0.98697272526,1.0,0.992699606039,0.983915853422,0.979658308372,0.995432678888,0.992897962146,0.992813347277,0.995314641479
ucr_fast,0.987933200128,0.988851074714,0.992699606039,1.0,0.980583768665,0.981125165013,0.992549029078,0.994333894773,0.994478264824,0.992597101029
ucrC,0.970653961934,0.970210363851,0.983915853422,0.980583768665,1.0,0.992098571595,0.984706051764,0.980124456333,0.979128791698,0.983560717253
ucrC_fast,0.971591401742,0.971697454197,0.979658308372,0.981125165013,0.992098571595,1.0,0.980567914081,0.98158578641,0.979289316694,0.979232390994
ucrss,0.9860537585,0.986946716847,0.995432678888,0.992549029078,0.984706051764,0.980567914081,1.0,0.992644146911,0.992454980538,0.995364698138
ucrss_fast,0.988238764882,0.989586145535,0.992897962146,0.994333894773,0.980124456333,0.98158578641,0.992644146911,1.0,0.994628763244,0.991828708358
ucrss_fast_wfilter,0.987424944877,0.98820678553,0.992813347277,0.994478264824,0.979128791698,0.979289316694,0.992454980538,0.994628763244,1.0,0.992432504921
ucrss_wfilter,0.986288253619,0.986129788198,0.995314641479,0.992597101029,0.983560717253,0.979232390994,0.995364698138,0.991828708358,0.992432504921,1.0
